TC;fγf;fγi;fα'i;fα'fr;Cγ;Cα'
211;0.1655505363891685;0.1655505363891685;0.8344494636108315;0;1.5778981254031517;0.00095157438057163
211.5;0.16640044764505485;0.16640044764505485;0.8335995523549451;0;1.5694368914755372;0.0009415059020545552
212;0.16725503834821315;0.16725503834821315;0.8327449616517868;0;1.5610195644896483;0.0009315655810992444
212.5;0.16811433442009865;0.16811433442009865;0.8318856655799014;0;1.5526459393756569;0.0009217515392796041
213;0.16897836192331545;0.16897836192331545;0.8310216380766846;0;1.544315811610193;0.0009120619285824894
213.5;0.16984714706242635;0.16984714706242635;0.8301528529375737;0;1.5360289772239366;0.0009024949308826325
214;0.17072071618476614;0.17072071618476614;0.8292792838152339;0;1.5277852328089643;0.0008930487574266881
214.5;0.1715990957812589;0.1715990957812589;0.8284009042187411;0;1.5195843755258385;0.0008837216483271004
215;0.17248231248723941;0.17248231248723941;0.8275176875127606;0;1.5114262031104557;0.0008745118720646599
215.5;0.17337039308327865;0.17337039308327865;0.8266296069167214;0;1.5033105138806568;0.0008654177249992303
216;0.17426336449601298;0.17426336449601298;0.825736635503987;0;1.495237106742607;0.0008564375308900739
216.5;0.17516125379897765;0.17516125379897765;0.8248387462010224;0;1.4872057811969421;0.0008475696404244068
217;0.17606408821344463;0.17606408821344463;0.8239359117865553;0;1.4792163373447;0.0008388124307541689
217.5;0.1769718951092638;0.1769718951092638;0.8230281048907362;0;1.471268575893033;0.0008301643050412579
218;0.17788470200570933;0.17788470200570933;0.8221152979942907;0;1.4633622981607077;0.0008216236920104478
